geo_level,geo_name,year,pop_black_alone,pct_black_alone,pct_owner_occupied_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,median_monthly_housing_costs_owner_occupied_houses_with_mortages,median_monthly_housing_costs_owner_occupied_houses_without_mortages,median_real_estate_taxes_owner_occupied_houses_with_mortages,median_real_estate_taxes_owner_occupied_houses_without_mortages
zcta,37774,2021,210,1.1,0.3,211800,289300,1315,400,1105,1314
zcta,37777,2021,614,4.7,4.8,240800,242700,1437,453,1307,1210
zcta,37779,2021,0,0.0,0.0,139000,102200,1087,294,616,539
zcta,37801,2021,547,2.0,1.6,222000,153100,1362,352,1319,919
zcta,37803,2021,286,0.9,0.6,237900,230200,1354,433,1355,1362
zcta,37804,2021,684,2.5,1.6,182500,162800,1242,368,1225,1052
zcta,37806,2021,100,3.2,2.5,145000,116000,909,307,638,589
zcta,37807,2021,115,1.0,0.0,147900,152500,1097,332,642,682
zcta,37809,2021,26,1.2,0.0,109100,121500,959,299,478,605
zcta,37810,2021,0,0.0,0.0,101400,88500,889,334,691,600
zcta,37811,2021,31,0.7,0.0,110700,128700,1011,326,483,622
zcta,37813,2021,844,4.8,1.4,118000,118600,904,340,689,648
zcta,37814,2021,1491,4.4,4.7,157100,151100,1101,358,829,839
zcta,37818,2021,27,0.5,0.2,128600,82000,891,268,588,405
zcta,37819,2021,0,0.0,0.0,186900,88300,943,403,,489
zcta,37820,2021,97,1.3,1.8,157200,152900,1000,376,795,829
zcta,37821,2021,514,2.4,1.1,122600,96900,993,361,1050,767
zcta,37825,2021,162,1.8,0.0,116200,82400,935,290,582,583
zcta,37826,2021,138,3.1,1.8,165200,137300,1063,338,520,527
zcta,37828,2021,6,0.4,0.0,263600,255300,1660,468,1877,1616
zcta,37829,2021,0,0.0,0.0,131900,77000,1071,372,747,492
zcta,37830,2021,1985,6.3,7.5,171000,172900,1309,514,1682,1932
zcta,37840,2021,0,0.0,0.0,144300,139400,1171,416,987,1035
zcta,37841,2021,16,0.2,0.0,132000,103000,1009,324,816,637
zcta,37843,2021,195,4.6,7.3,135500,155100,994,365,752,887
zcta,37845,2021,0,0.0,0.0,,,,,,
zcta,37846,2021,209,5.0,0.8,159700,118400,1051,353,791,616
zcta,37847,2021,0,0.0,0.0,67300,103900,938,325,428,567
zcta,37848,2021,0,0.0,0.0,135400,,970,,767,
zcta,37849,2021,549,1.9,1.2,207300,175600,1342,384,1121,936
zcta,37851,2021,0,,,,,,,,
zcta,37852,2021,0,0.0,0.0,116600,108900,816,334,530,525
zcta,37853,2021,113,3.4,3.3,210100,151000,1329,341,1234,778
zcta,37854,2021,88,0.7,0.5,122500,103300,1113,362,766,631
zcta,37857,2021,394,1.9,2.4,147900,110100,1002,286,883,675
zcta,37860,2021,0,0.0,0.0,151200,121100,1105,282,701,503
zcta,37861,2021,7,0.1,0.1,184100,77900,1157,304,971,434
zcta,37862,2021,202,0.9,0.3,251700,207500,1306,330,951,814
zcta,37863,2021,9,0.1,0.0,180000,196500,958,419,598,756
zcta,37865,2021,222,0.9,0.2,221500,190400,1346,347,879,811
